x,y,coordIdx,temp_time,ts,time,id,posID,X_raw,Y_raw,NBS,VARX,VARY,COVXY,SD,tide_number,tidaltime,waterlevel,resTime,fpt,revisits
650264.661270742,5904402.64755806,611,2018-08-16T05:00:00Z,2018-08-16T05:02:32.011222Z,1534395750,413,32045,650264.661270742,5904402.64755806,3.22222222222222,9.3541,11.9050422222222,5.73228133333333,5.42249723910412,11,392.533520364761,-117,74.5594278891881,46.704863858223,2
650266.297567906,5904402.06924697,612,2018-08-16T05:00:00Z,2018-08-16T05:02:59.343333Z,1534395780,413,32054,650266.297567906,5904402.06924697,3.11111111111111,16.8658155555556,23.5182222222222,10.9362203333333,6.45300027741516,11,392.989055550098,-117,74.260780398051,46.2826288580895,2
650274.30505961,5904403.08444109,613,2018-08-16T05:00:00Z,2018-08-16T05:03:30.841900Z,1534395810,413,32063.5,650274.30505961,5904403.08444109,3.1,12.441104,14.899714,7.6286479,6.04045632954065,11,393.514031668504,-117,72.9638886094093,44.4902459581693,3
650277.19225973,5904399.8056786,614,2018-08-16T05:00:00Z,2018-08-16T05:04:02.007111Z,1534395840,413,32073,650277.19225973,5904399.8056786,3.11111111111111,15.3349744444444,19.1890455555556,12.0777906666667,6.68582908861664,11,394.033451851209,-117,72.8644763350487,44.3327082117399,2
650278.919380077,5904399.72176687,615,2018-08-16T05:00:00Z,2018-08-16T05:04:30.839200Z,1534395870,413,32082.5,650278.919380077,5904399.72176687,3.1,3.530321,4.020449,-0.4411123,2.57938726476718,11,394.513986666997,-117,72.6816727042198,44.1680092851321,2
650279.675948447,5904398.17582553,616,2018-08-16T05:10:00Z,2018-08-16T05:05:00.837700Z,1534395900,413,32092.5,650279.675948447,5904398.17582553,3,4.177191,4.850891,0.1867249,2.84830748770039,11,395.013961664836,-109,72.3753717422485,43.0179644028346,3
650280.374297776,5904400.12413423,617,2018-08-16T05:10:00Z,2018-08-16T05:05:30.836400Z,1534395930,413,32102.5,650280.374297776,5904400.12413423,3,4.32736,4.963348,0.2297648,2.80897564511558,11,395.513940000534,-109,70.2773116707802,41.1998773256938,3
650280.493541518,5904399.12880549,618,2018-08-16T05:10:00Z,2018-08-16T05:06:00.835100Z,1534395960,413,32112.5,650280.493541518,5904399.12880549,3,4.551291,5.270504,0.5743597,3.02846534826761,11,396.013918332259,-109,70.3592826724053,41.205078625679,3
650280.841153762,5904398.38843123,619,2018-08-16T05:10:00Z,2018-08-16T05:06:30.833600Z,1534395990,413,32122.5,650280.841153762,5904398.38843123,3,9.365103,8.105152,0.8162576,4.13805656939981,11,396.513893334071,-109,70.1342646280924,41.0652860720952,3
650284.460916997,5904397.98345367,620,2018-08-16T05:10:00Z,2018-08-16T05:06:59.332444Z,1534396020,413,32132,650284.460916997,5904397.98345367,3,4.36292777777778,4.55084111111111,-0.133453544444444,2.91256923339805,11,396.988874065876,-109,68.8370143532753,40.5800667007764,2
650284.634211481,5904396.90750351,621,2018-08-16T05:10:00Z,2018-08-16T05:07:31.664222Z,1534396050,413,32141,650284.634211481,5904396.90750351,3,6.53890888888889,5.75719777777778,0.1528493,3.30381288522167,11,397.527737033367,-109,68.8626900156339,40.5718604962031,2
650286.826461591,5904396.71305863,622,2018-08-16T05:10:00Z,2018-08-16T05:08:00.996111Z,1534396080,413,32150,650286.826461591,5904396.71305863,3,13.2891877777778,21.1696955555556,1.54961126777778,5.43555976796969,11,398.016601848602,-109,68.6382510383924,39.9263276616732,3
650288.203986265,5904395.29793858,623,2018-08-16T05:10:00Z,2018-08-16T05:08:30.828300Z,1534396110,413,32159.5,650288.203986265,5904395.29793858,3,6.2028,6.92061,1.3948956,3.62674425283433,11,398.513804999987,-109,68.8290105144183,39.7858334620794,2
650289.522737268,5904396.17338157,624,2018-08-16T05:10:00Z,2018-08-16T05:09:00.826700Z,1534396140,413,32169.5,650289.522737268,5904396.17338157,3,3.72905,4.630746,-0.8257343,2.57423677974097,11,399.013778332869,-109,68.4349770387014,39.6298158605894,2
650290.691000708,5904395.02913274,625,2018-08-16T05:10:00Z,2018-08-16T05:09:30.825500Z,1534396170,413,32179.5,650290.691000708,5904395.02913274,3,4.421887,4.827635,0.14987849,3.0032894371207,11,399.513758333524,-109,67.9463954091072,34.5114342093468,3
650291.603718046,5904392.23098538,626,2018-08-16T05:10:00Z,2018-08-16T05:10:01.657444Z,1534396200,413,32189,650291.603718046,5904392.23098538,3,9.38079,11.3129877777778,5.29638255555556,4.68429419156963,11,400.027624066671,-109,67.2277236541112,34.3521930456162,4
650295.950185775,5904392.29763666,627,2018-08-16T05:10:00Z,2018-08-16T05:10:29.656Z,1534396230,413,32198,650295.950185775,5904392.29763666,3,7.44490777777778,8.99337777777778,3.230153,4.60022718805045,11,400.494266664982,-109,59.5744994123777,32.5084237933159,4
650303.911341377,5904394.99841852,628,2018-08-16T05:10:00Z,2018-08-16T05:11:00.821400Z,1534396260,413,32207.5,650303.911341377,5904394.99841852,3,7.363138,7.720222,1.3416907,4.08117111538605,11,401.013689998786,-109,28.3244525631269,26.2923000892003,4
650309.392366688,5904390.79952184,629,2018-08-16T05:10:00Z,2018-08-16T05:11:30.819900Z,1534396290,413,32217.5,650309.392366688,5904390.79952184,3,12.513964,15.708494,7.5089132,5.61128972178988,11,401.513665000598,-109,22.7890191992124,0.487779140472412,3
650316.556095146,5904393.61131558,630,2018-08-16T05:10:00Z,2018-08-16T05:12:00.818600Z,1534396320,413,32227.5,650316.556095146,5904393.61131558,3,5.542977,6.878008,0.8440719,3.51903545515253,11,402.013643332322,-109,9.27550543149312,0.192877693970998,2
650318.883320112,5904394.11558203,631,2018-08-16T05:10:00Z,2018-08-16T05:12:30.817300Z,1534396350,413,32237.5,650318.883320112,5904394.11558203,3,7.784234,10.157821,1.4143857,4.49940679883458,11,402.513621668021,-109,5.55270020961762,4.78171638647715,3
650317.275352809,5904394.2546267,632,2018-08-16T05:10:00Z,2018-08-16T05:13:00.815800Z,1534396380,413,32247.5,650317.275352809,5904394.2546267,3,8.182626,10.741851,1.899154,4.76275619391522,11,403.013596665859,-109,8.8625707189242,8.8625707189242,1
